"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Abraham","297355133",16502000,18000000,1498000,9.1
"Ringo","368357455",10276500,12000000,1723500,16.8
"ṪѦ MakoDeth","218983262",10212500,5710000,-4502500,-44.1
"Ro-Tahn Taske","851385852",8761000,4800000,-3961000,-45.2
"DarthNox 2703","386563717",8225000,9450000,1225000,14.9
"No Datacron Pille","958598547",7828000,5487500,-2340500,-29.9
"MILU1110","341197896",7810000,8100000,290000,3.7
"Jellal","987862611",6201500,3262500,-2939000,-47.4
"Odins rache","229262754",6046000,5312500,-733500,-12.1
"Josef29","588644288",5845500,5505000,-340500,-5.8
"Skymaster","774651231",5198000,5700000,502000,9.7
"Papa Faett","842281138",5193000,4800000,-393000,-7.6
"Gollo","114814146",5119500,2385000,-2734500,-53.4
"Silchas Ruin","485891948",5099000,5347500,248500,4.9
"Emmitt","627611788",4992500,4747500,-245000,-4.9
"Deus ex Machina","685272141",4904000,4800000,-104000,-2.1
"Hoss","997196913",4733000,2100000,-2633000,-55.6
"LordSkinny","633524812",4617000,2265000,-2352000,-50.9
"Stoffel","786132254",4539500,3262500,-1277000,-28.1
"Nachtwolf74","629941441",4450000,1950000,-2500000,-56.2
"CaptainKelly","718362326",4360500,3937500,-423000,-9.7
"ṪѦ JediFant","861435415",4325000,2422500,-1902500,-44
"DonBull","726762935",4275000,3105000,-1170000,-27.4
"RitterRunkel","724534733",4119500,6600000,2480500,60.2
"MrBete","862865286",3741500,0,-3741500,-100
"NΞKΘNΞΧU シ","656655975",3721500,3385000,-336500,-9
"Appo","626873282",3532000,2095000,-1437000,-40.7
"East Clintwood","822211689",3473500,3340000,-133500,-3.8
"Acania","748991189",3454500,1720000,-1734500,-50.2
"DarthUnaxis","731554425",3446000,2335000,-1111000,-32.2
"Mol Hosk","913615485",3402000,3300000,-102000,-3
"ṪѦ Thom san","277948331",3230500,2055000,-1175500,-36.4
"Lanzi","636115652",3073000,2100000,-973000,-31.7
"VADS666","351844152",3055000,3835000,780000,25.5
"Aleix Koka","728896449",2968500,2325000,-643500,-21.7
"Thyranus","885297615",2890000,2100000,-790000,-27.3
"Kyle Katarn","397297858",2842500,600000,-2242500,-78.9
"Snafu exHuibu","991112621",2840500,1812500,-1028000,-36.2
"Kohlenkalle","655291236",2836000,2400000,-436000,-15.4
"Imperator","877586864",2755000,2617500,-137500,-5
"HaihappenUhaha","988393429",2257500,0,-2257500,-100
"RoteZora87","532287738",2195500,322500,-1873000,-85.3
"CJ","734513757",2194500,1548750,-645750,-29.4
"SS","181786441",2181000,1080000,-1101000,-50.5
"Exar Kun","587915188",2030500,1955000,-75500,-3.7
"Goldbeard Ceadeus","663265392",2012500,1800000,-212500,-10.6
"Joggl","161384159",1794000,1830000,36000,2
"El Grande","949461414",1787500,1172500,-615000,-34.4
"Poldy","198972786",1748000,1500000,-248000,-14.2
"Tony1220","765335759",1495500,1430000,-65500,-4.4
